MNXR95865	rxn00656
MNXR95883
MNXR95892	rxn02175
MNXR95898	rxn02474
MNXR95901	rxn05256
MNXR95932	rxn05501
MNXR95940	rxn00405
MNXR95945	rxn00394
MNXR95946	rxn08153
MNXR95948	rxn00802
MNXR95949	rxn01434
MNXR96039	rxn01643
MNXR96056	rxn00342
MNXR96059	rxn00416
MNXR96077	rxn00346
MNXR96079	rxn00260
MNXR96080	rxn01018
MNXR96085	rxn00337
MNXR96104	rxn08169
MNXR96117	rxn01127
MNXR96118	rxn01353
MNXR96119	rxn00237
MNXR96131	rxn00062
MNXR96132	rxn00789
MNXR96136	rxn08173
MNXR96145	rxn05039
MNXR96208	rxn00792
MNXR96229	rxn00806
MNXR96230	rxn00903
MNXR96232	rxn00992
MNXR96237	rxn01867
MNXR96238	rxn01868
MNXR96321	rxn00137
MNXR96330	rxn06672
MNXR96331
MNXR96343	rxn08180
MNXR96437	rxn05514
MNXR96455	rxn00006
MNXR96465
MNXR96471
MNXR96485	rxn00414
MNXR96498
MNXR96556	rxn01750
MNXR96558	rxn03908
MNXR96692	rxn08213
MNXR96697	rxn10770
MNXR96708	rxn01256
MNXR96709	rxn01255
MNXR96730	rxn02751
MNXR96732
MNXR96746	rxn05211
MNXR96797	rxn08234
MNXR96800	rxn00853
MNXR96807	rxn03907
MNXR96810	rxn05467
MNXR96813	rxn03970
MNXR96821	rxn08241
MNXR96880	rxn02303
MNXR96884	rxn00113
MNXR96920	rxn00256
MNXR96927	rxn00717
MNXR96944	rxn00410
MNXR96945	rxn00412
MNXR96950	rxn05528
MNXR96958	rxn07312
MNXR96969
MNXR96982
MNXR96986	rxn05909
MNXR96994	rxn00566
MNXR97007	rxn00649
MNXR97019
MNXR97031	rxn08288
MNXR97032	rxn08287
MNXR97035	rxn10113
MNXR97036
MNXR97039	rxn01368
MNXR97044	rxn05198
MNXR97047	rxn00364
MNXR97053	rxn01219
MNXR97073	rxn08291
MNXR97076	rxn01858
MNXR97080	rxn05317
MNXR97094
MNXR97135	rxn05494
MNXR97140	rxn01972
MNXR97141	rxn00313
MNXR97143	rxn01974
MNXR97154	rxn08306
MNXR97155	rxn08307
MNXR97156	rxn08308
MNXR97157	rxn08309
MNXR97159	rxn08310
MNXR97160	rxn08311
MNXR97161	rxn08312
MNXR97178	rxn05040
MNXR97180	rxn02277
MNXR97201	rxn01672
MNXR97202	rxn00407
MNXR97207	rxn01800
MNXR97209	rxn05205
MNXR97213	rxn02429
MNXR97214	rxn05681
MNXR97216	rxn01123
MNXR97218	rxn01332
MNXR97219	rxn00328
MNXR97220	rxn00783
MNXR97263	rxn02842
MNXR97320	rxn01509
MNXR97325	rxn08323
MNXR97358
MNXR97378	rxn04600
MNXR97400	rxn01602
MNXR97401	rxn00686
MNXR97403	rxn01603
MNXR97415	rxn02504
MNXR97418	rxn08335
MNXR97421	rxn08336
MNXR97428	rxn01465
MNXR97432	rxn01626
MNXR97433	rxn02190
MNXR97434
MNXR97435	rxn02475
MNXR97439	rxn02201
MNXR97447	rxn02212
MNXR97449	rxn02213
MNXR97452	rxn02867
MNXR97465	rxn08343
MNXR97501	rxn03080
MNXR97512	rxn01213
MNXR97523
MNXR97524	rxn08352
MNXR97525	rxn04996
MNXR97536
MNXR97601
MNXR97619
MNXR97678	rxn00190
MNXR97762	rxn00100
MNXR97779	rxn01790
MNXR97798	rxn05649
MNXR97804	rxn01513
MNXR97817	rxn01518
MNXR97820	rxn08376
MNXR97822	rxn01519
MNXR97830	rxn03958
MNXR97831	rxn03909
MNXR97842	rxn01331
MNXR97846
MNXR97848
MNXR97852
MNXR97864
MNXR97866
MNXR97868
MNXR97883	rxn02167
MNXR97885	rxn02949
MNXR97888	rxn03247
MNXR97889	rxn03245
MNXR97890	rxn02911
MNXR97891	rxn03241
MNXR97892	rxn03240
MNXR97894	rxn02934
MNXR97897	rxn03884
MNXR97898	rxn01477
MNXR97899
MNXR97901
MNXR97932	rxn00459
MNXR97968	rxn00539
MNXR97975	rxn05551
MNXR97980	rxn08428
MNXR98011
MNXR98062
MNXR98152
MNXR98196
MNXR98198
MNXR98208
MNXR98230
MNXR98247
MNXR98255
MNXR98278
MNXR98283
MNXR98286
MNXR98318
MNXR98326
MNXR98330
MNXR98339
MNXR98346
MNXR98349
MNXR98353
MNXR98356
MNXR98384
MNXR98392
MNXR98393
MNXR98402
MNXR98408
MNXR98418
MNXR98435
MNXR98459
MNXR98461
MNXR98464
MNXR98465
MNXR98490
MNXR98492
MNXR98523
MNXR98554
MNXR98555
MNXR98557
MNXR98569
MNXR98577
MNXR98579
MNXR98583
MNXR98591
MNXR98597
MNXR98602
MNXR98605
MNXR98641	rxn05319
MNXR98643
MNXR98650
MNXR98665
MNXR98683
MNXR98686
MNXR98724
MNXR98731
MNXR98733
MNXR98741
MNXR98752
MNXR98753
MNXR98754
MNXR98755
MNXR98756
MNXR98761
MNXR98786
MNXR98789
MNXR98790
MNXR98791
MNXR98799
MNXR98807
MNXR98813
MNXR98854
MNXR98860
