MNXR100107
MNXR100312
MNXR100633
MNXR100662
MNXR100747
MNXR100753
MNXR100776
MNXR100903
MNXR100904
MNXR100905
MNXR100906
MNXR100932
MNXR100933
MNXR101141
MNXR101142
MNXR101143
MNXR101162
MNXR101163
MNXR101164
MNXR101276
MNXR101382
MNXR101419
MNXR101513
MNXR101666
MNXR101669
MNXR101876
MNXR101986
MNXR102372
MNXR102507
MNXR102511
MNXR102535
MNXR102589
MNXR102596
MNXR102632
MNXR102967
MNXR102968
MNXR102969
MNXR102989
MNXR102990
MNXR102991
MNXR103157
MNXR103165
MNXR103215
MNXR103229
MNXR103233
MNXR103235
MNXR103266
MNXR103270
MNXR103272
MNXR103329
MNXR103431
MNXR104084
MNXR104285
MNXR104498
MNXR104715
MNXR104868
MNXR104869
MNXR104971
MNXR105013
MNXR7594	rxn03015_c0
MNXR7613	rxn03052_c0
MNXR7644	rxn01804_c0
MNXR7721	rxn02819_c0
MNXR7792	rxn02199_c0
MNXR78083	rxn05458_c0
MNXR79288	rxn00577_c0
MNXR79548	rxn01575_c0
MNXR79575	rxn01925_c0
MNXR79601	rxn02268_c0
MNXR79604	rxn02302_c0
MNXR79613	rxn02376_c0
MNXR79615	rxn02409_c0;rxn11567_c0
MNXR79647	rxn02792_c0
MNXR79704	rxn03437_c0
MNXR79735	rxn03762_c0
MNXR79878	rxn05229_c0
MNXR79883	rxn05267_c0
MNXR80058	rxn06335_c0
MNXR80306	rxn07431_c0
MNXR80308	rxn07434_c0
MNXR80309	rxn07435_c0
MNXR80323	rxn07586_c0
MNXR80370	rxn09450_c0
MNXR80378	rxn08615_c0
MNXR80380	rxn08800_c0
MNXR80382	rxn08808_c0
MNXR80383	rxn08809_c0
MNXR80385	rxn08821_c0
MNXR80400	rxn09127_c0
MNXR80403	rxn09148_c0
MNXR80405	rxn09156_c0
MNXR80406	rxn09157_c0
MNXR80464	rxn09997_c0
MNXR80501	rxn10220_c0
MNXR80502	rxn10221_c0
MNXR80503	rxn10222_c0
MNXR80504	rxn10223_c0
MNXR80505	rxn10224_c0
MNXR80506	rxn10225_c0
MNXR80553	rxn10334_c0
MNXR80555	rxn10336_c0
MNXR80556	rxn10337_c0
MNXR80557	rxn10338_c0
MNXR80558	rxn10339_c0
MNXR80559	rxn10340_c0
MNXR80560	rxn10341_c0
MNXR80561	rxn10342_c0
MNXR8073	rxn01148_c0
MNXR80794	rxn12224_c0
MNXR80876	rxn12636_c0
MNXR80878	rxn12638_c0
MNXR80879	rxn12644_c0
MNXR81103	rxn13661_c0
MNXR8129	rxn01405_c0
MNXR8203	rxn00730_c0
MNXR8219	rxn06728_c0
MNXR8221	rxn00055_c0
MNXR8252	rxn02576_c0
MNXR8269	rxn01754_c0
MNXR8303	rxn03046_c0
MNXR8328	rxn00721_c0
MNXR8404	rxn00655_c0
MNXR84520	rxn03289_c0
MNXR84532	rxn00847_c0
MNXR84576	rxn00678_c0
MNXR84580	rxn01066_c0
MNXR84631	rxn03365_c0
MNXR84761	rxn05814_c0
MNXR84794	rxn00550_c0
MNXR84885	rxn06060_c0
MNXR84910	rxn06098_c0
MNXR84911	rxn06099_c0
MNXR84987	rxn01995_c0
MNXR85051	rxn02359_c0
MNXR85052	rxn02360_c0
MNXR85058	rxn02391_c0
MNXR85082	rxn06394_c0
MNXR85159	rxn02821_c0
MNXR85179	rxn07438_c0
MNXR85205	rxn06647_c0
MNXR85233	rxn03094_c0
MNXR85234	rxn03095_c0
MNXR85248	rxn06735_c0
MNXR85267	rxn06759_c0
MNXR85268	rxn06760_c0
MNXR85270	rxn03185_c0
MNXR85277	rxn03236_c0
MNXR85287	rxn03366_c0
MNXR85297	rxn03419_c0
MNXR85306	rxn03463_c0
MNXR85308	rxn03465_c0
MNXR85310	rxn03467_c0
MNXR85314	rxn06864_c0
MNXR85335	rxn03644_c0
MNXR85362	rxn03872_c0
MNXR85363	rxn11946_c0
MNXR85368	rxn03951_c0
MNXR85427	rxn07099_c0
MNXR85428	rxn07100_c0
MNXR85460	rxn04413_c0
MNXR85534	rxn12013_c0
