,Loop1,Loop2,Loop3,Loop4,Loop5,Loop6,Loop7,Loop8,Loop9,Loop10,Loop11,Loop12,Loop13,Loop14,Loop15,Loop16,Loop17,Loop18,Loop19,Loop20,Loop21,Loop22,Loop23,Loop24,Loop25,Loop26,Loop27,Loop28,Loop29,Loop30,Loop31,Loop32,Loop33,Loop34,Loop35,Loop36,Loop37,Loop38,Loop39,Loop40,Loop41,Loop42,Loop43,Loop44,Loop45,Loop46,Loop47,Loop48,Loop49,Loop50
MNXR93946,0.04,0.11,-0.01,0.02,-0.2,-0.17,0.11,0.14,-0.06,-0.06,0.06,0.06,0,0.14,-0.08,0.11,-0.04,-0.02,-0.06,0.07,0.21,0.07,-0.15,0.07,-0.13,0.05,-0.11,-0.19,-0.07,-0.16,-0.08,-0.01,0.09,-0.06,-0.05,-0.07,0.06,-0.05,-0.02,0.01,-0.01,-0.17,-0.06,-0.02,0.06,-0.04,0.11,-0.17,-0.04,0.04
MNXR94164,-0.03,0.12,0.03,-0.02,0.03,0.03,-0.05,-0.02,0,0.04,-0.02,0.07,0.14,-0.03,-0.16,0.12,0.07,0,0.01,-0.12,-0.11,-0.05,-0.08,0.15,-0.01,-0.06,0.1,-0.04,0.05,0.07,-0.05,0,-0.03,0.1,-0.05,0.15,-0.13,-0.14,0.05,0.04,0.11,-0.19,0.07,0.01,-0.11,-0.1,0.1,0.06,0,0.19
MNXR94165,0.02,-0.1,0.09,0.04,0.1,-0.05,0.04,-0.01,0.03,-0.02,0.05,0.03,0.03,0.07,0.05,0.01,0.04,0.04,0,-0.03,0.1,-0.01,0.04,-0.04,0.01,0.04,-0.04,-0.01,0,-0.02,-0.01,-0.04,0,-0.01,0.03,-0.08,0.02,0.04,0,-0.03,-0.11,0.09,-0.01,-0.07,0.07,0.07,-0.08,-0.04,0,-0.05
MNXR94166,-0.02,0.1,-0.09,-0.04,-0.1,0.05,-0.04,0.01,-0.03,0.02,-0.05,-0.03,-0.03,-0.07,-0.05,-0.01,-0.04,-0.04,0,0.03,-0.1,0.01,-0.04,0.04,-0.01,-0.04,0.04,0.01,0,0.02,0.01,0.04,0,0.01,-0.03,0.08,-0.02,-0.04,0,0.03,0.11,-0.09,0.01,0.07,-0.07,-0.07,0.08,0.04,0,0.05
MNXR94194,0.07,-0.03,-0.14,0,-0.02,-0.01,-0.03,-0.02,0.07,0.01,-0.11,0.06,0.06,-0.06,0.08,0.01,0.13,-0.03,-0.08,0.07,0.08,-0.04,-0.09,0.08,0.17,0.13,0.04,0.06,-0.07,0,-0.07,0.03,-0.03,0,0.01,0,-0.05,-0.04,-0.02,-0.14,-0.12,0.03,-0.01,0.05,0.03,-0.15,0.07,-0.01,0,-0.05
MNXR94196,0,-0.04,0.02,0.03,-0.07,0.02,-0.07,-0.06,0.12,0.08,0.1,0.04,-0.06,0.04,0,-0.08,0.05,0.03,0,-0.16,-0.08,-0.03,0.06,0.05,0.08,-0.05,-0.1,0.07,-0.01,-0.1,-0.07,-0.07,0.03,-0.09,0.04,0,0.07,-0.08,-0.17,0.05,-0.08,-0.09,-0.05,0.13,-0.01,0.06,0.1,-0.02,0,0.02
MNXR94197,0,0,-0.18,0.01,0.02,-0.13,-0.08,-0.01,0.11,-0.09,0.12,0.08,0.14,-0.01,-0.07,-0.06,-0.02,-0.03,-0.02,0.02,-0.09,-0.05,0.11,-0.03,-0.12,0,0.04,-0.03,-0.03,0.03,-0.04,-0.1,0.12,-0.04,0.02,-0.06,0.04,-0.05,0.11,0.06,0.01,0.01,0.01,0.02,-0.03,-0.1,-0.09,0.02,0,-0.1
MNXR94198,-0.01,0.09,-0.02,0.03,0.04,0.12,-0.13,0.07,-0.02,-0.1,0.06,-0.05,0.03,0.02,-0.02,0.04,-0.01,0.11,-0.13,0.08,0.01,-0.03,0.06,0.13,-0.01,-0.03,0,-0.1,0.02,0.02,-0.06,0.05,-0.1,0.03,0.01,0,0.16,0.11,-0.04,0.02,-0.1,0.07,-0.09,0.09,0.03,-0.03,-0.06,0.08,0,0.13
MNXR94200,0.03,-0.15,-0.14,0.01,0.06,0.03,-0.07,0.08,0,-0.12,0,-0.07,0,0,-0.06,0.03,-0.03,0.14,0.12,0.07,0,0.04,-0.07,-0.05,-0.01,-0.07,0.02,0.08,-0.05,-0.09,-0.06,-0.11,-0.13,-0.06,-0.03,-0.01,-0.08,-0.08,0.06,0.03,0.05,0.04,0.01,0,0.12,0.06,0.11,-0.01,0,0.09
MNXR94201,-0.03,0.05,0.04,0.05,-0.01,0.15,-0.18,0.01,0.04,-0.01,0.1,0.02,0.05,0.1,0.02,-0.02,-0.05,0.03,0.08,0.05,0.02,-0.03,-0.06,-0.16,0.13,-0.05,-0.05,-0.1,-0.02,-0.08,0.12,0.01,0.04,0.09,0.09,0.03,0.02,-0.01,0.06,-0.09,0,-0.08,0.05,-0.07,-0.03,-0.08,0.08,0.01,0,-0.1
MNXR94202,-0.03,-0.03,-0.02,0.02,0.11,0,-0.11,0.08,0.11,0.19,-0.14,0.11,0.04,0.08,0.02,0.03,-0.02,0.06,-0.03,0.07,0.04,0.05,-0.06,0,-0.08,0,0.01,-0.02,0.03,-0.03,0.07,0.06,-0.12,-0.07,-0.01,-0.02,0.01,-0.05,0,0.04,0.07,-0.06,-0.14,0.07,-0.13,0.08,-0.09,-0.04,0,-0.09
MNXR94217,-0.07,0.03,0.14,0,0.02,0.01,0.03,0.02,-0.07,-0.01,0.11,-0.06,-0.06,0.06,-0.08,-0.01,-0.13,0.03,0.08,-0.07,-0.08,0.04,0.09,-0.08,-0.17,-0.13,-0.04,-0.06,0.07,0,0.07,-0.03,0.03,0,-0.01,0,0.05,0.04,0.02,0.14,0.12,-0.03,0.01,-0.05,-0.03,0.15,-0.07,0.01,0,0.05
MNXR94219,0,0.04,-0.02,-0.03,0.07,-0.02,0.07,0.06,-0.12,-0.08,-0.1,-0.04,0.06,-0.04,0,0.08,-0.05,-0.03,0,0.16,0.08,0.03,-0.06,-0.05,-0.08,0.05,0.1,-0.07,0.01,0.1,0.07,0.07,-0.03,0.09,-0.04,0,-0.07,0.08,0.17,-0.05,0.08,0.09,0.05,-0.13,0.01,-0.06,-0.1,0.02,0,-0.02
MNXR94220,-0.03,0.03,-0.03,0.01,0.02,0.03,0.11,0.01,-0.08,-0.01,0,0.07,0.21,0.04,0.06,-0.08,-0.03,0.01,-0.11,-0.03,-0.03,-0.04,0.04,-0.07,-0.09,-0.07,0.04,-0.04,-0.02,0.11,0.12,0,-0.06,-0.08,-0.04,-0.02,-0.04,0.04,-0.08,-0.09,-0.01,0.02,-0.01,0.06,0.05,0.08,0.23,0.02,0,-0.04
MNXR94221,0,0,0.18,-0.01,-0.02,0.13,0.08,0.01,-0.11,0.09,-0.12,-0.08,-0.14,0.01,0.07,0.06,0.02,0.03,0.02,-0.02,0.09,0.05,-0.11,0.03,0.12,0,-0.04,0.03,0.03,-0.03,0.04,0.1,-0.12,0.04,-0.02,0.06,-0.04,0.05,-0.11,-0.06,-0.01,-0.01,-0.01,-0.02,0.03,0.1,0.09,-0.02,0,0.1
MNXR94222,0.01,-0.09,0.02,-0.03,-0.04,-0.12,0.13,-0.07,0.02,0.1,-0.06,0.05,-0.03,-0.02,0.02,-0.04,0.01,-0.11,0.13,-0.08,-0.01,0.03,-0.06,-0.13,0.01,0.03,0,0.1,-0.02,-0.02,0.06,-0.05,0.1,-0.03,-0.01,0,-0.16,-0.11,0.04,-0.02,0.1,-0.07,0.09,-0.09,-0.03,0.03,0.06,-0.08,0,-0.13
MNXR94224,-0.03,0.15,0.14,-0.01,-0.06,-0.03,0.07,-0.08,0,0.12,0,0.07,0,0,0.06,-0.03,0.03,-0.14,-0.12,-0.07,0,-0.04,0.07,0.05,0.01,0.07,-0.02,-0.08,0.05,0.09,0.06,0.11,0.13,0.06,0.03,0.01,0.08,0.08,-0.06,-0.03,-0.05,-0.04,-0.01,0,-0.12,-0.06,-0.11,0.01,0,-0.09
MNXR94225,0.03,-0.05,-0.04,-0.05,0.01,-0.15,0.18,-0.01,-0.04,0.01,-0.1,-0.02,-0.05,-0.1,-0.02,0.02,0.05,-0.03,-0.08,-0.05,-0.02,0.03,0.06,0.16,-0.13,0.05,0.05,0.1,0.02,0.08,-0.12,-0.01,-0.04,-0.09,-0.09,-0.03,-0.02,0.01,-0.06,0.09,0,0.08,-0.05,0.07,0.03,0.08,-0.08,-0.01,0,0.1
