ID_corrected	Equa_BiGG_Corrected	Genes	LB	UB
MNXR8404	1 nadh_c + 1 ala_B_c + 1 h_c + 1 pyr_c <==> 1 h2o_c + 1 MNXM3765_c + 1 nad_c	1185660.4.peg.892	-1000	1000
MNXR84520	1 nadh_c + 1 h_c + 1 cholcoaone_c <==> 1 MNXM827_c + 1 nad_c	(1185660.4.peg.1548 or 1185660.4.peg.2234)	-1000	1000
MNXR84532	1 meoh_c + 1 pqq_c --> 1 h_c + 1 fald_c + 1 pqqh2_c	1185660.4.peg.673	0	1000
MNXR84576	1 pyr_c + 1 mmcoa__S_c <==> 1 oaa_c + 1 ppcoa_c	1185660.4.peg.3128	-1000	1000
MNXR84580	1 chsterol_c + 1 h_c + 1 MNXM72_c <==> 1 h2o_c + 1 xolest_hs_c	(1185660.4.peg.4088 or 1185660.4.peg.916 or 1185660.4.peg.528)	-1000	1000
MNXR84631	1 nadh_c + 2 h_c + 1 MNXM5008_c <==> 1 h2o_c + 1 MNXM4381_c + 1 nad_c	1185660.4.peg.2630	-1000	1000
MNXR84761	1 h_c + 1 atp_c + 1 MNXM80910_c <==> 1 adp_c + 1 MNXM90333_c	1185660.4.peg.3224	-1000	1000
MNXR84794	1 h2o_c + 1 MNXM651_c <==> 1 f6p_c + 1 pi_c	1185660.4.peg.1452	-1000	1000
MNXR84885	1 hso3_c + 1 gthox_c + 2 h_c + 1 h2s_c <==> 1 tsul_c + 2 MNXM57_c	1185660.4.peg.162	-1000	1000
MNXR84910	1 MNXM2285_c + 1 MNXM9525_c <==> 1 MNXM5935_c + 1 MNXM60402_c	1185660.4.peg.1114	-1000	1000
MNXR84911	1 h_c + 1 MNXM2285_c + 1 MNXM72_c <==> 1 h2o_c + 1 MNXM5935_c	(1185660.4.peg.4088 or 1185660.4.peg.528 or 1185660.4.peg.916)	-1000	1000
MNXR84987	1 coa_c + 1 mm_c + 1 h_c <==> 1 h2o_c + 1 mmcoa__S_c	1185660.4.peg.4235	-1000	1000
MNXR85051	1 1p3h5c_c + 1 fadh2_c <==> 1 fad_c + 1 4hpro_LT_c	1185660.4.peg.3682	-1000	1000
MNXR85052	1 MNXM2813_c <==> 1 4hpro_LT_c	1185660.4.peg.4413	-1000	1000
MNXR85058	1 MNXM447_c <==> 1 MNXM60402_c	1185660.4.peg.2619	-1000	1000
MNXR85082	1 MNXM145618_c + 1 h2o_c <==> 1 h_c + 1 acnam_c + 1 MNXM269_c	(1185660.4.peg.3662 or 1185660.4.peg.1420 or 1185660.4.peg.1308)	-1000	1000
MNXR85159	1 MNXM147517_c + 1 h2o_c <==> 1 acnam_c + 1 MNXM545_c	(1185660.4.peg.1420 or 1185660.4.peg.1308 or 1185660.4.peg.3662)	-1000	1000
MNXR85179	1 trdox_c + 1 h2o_c + 1 MNXM90860_c <==> 1 MNXM21320_c + 1 trdrd_c	1185660.4.peg.3769	-1000	1000
MNXR85205	1 MNXM17355_c + 1 MNXM96120_c <==> 1 MNXM5722_c + 1 MNXM5911_c	1185660.4.peg.1298	-1000	1000
MNXR85233	1 gly_c + 1 MNXM57907_c <==> 1 h2o_c + 1 MNXM8677_c	(1185660.4.peg.3651 or 1185660.4.peg.2057 or 1185660.4.peg.1822)	-1000	1000
MNXR85234	1 taur_c + 1 MNXM57907_c <==> 1 h2o_c + 1 MNXM9132_c	(1185660.4.peg.3651 or 1185660.4.peg.2057 or 1185660.4.peg.1822)	-1000	1000
MNXR85248	1 cmp_nate_c + 1 MNXM145618_c <==> 2 h_c + 1 cmp_c + 1 MNXM5051_c	(1185660.4.peg.3117 or 1185660.4.peg.2670)	-1000	1000
MNXR85267	1 MNXM1225_c + 1 cmp_nate_c + 1 h_c <==> 1 cmp_c + 1 MNXM44096_c	(1185660.4.peg.3117 or 1185660.4.peg.2670)	-1000	1000
MNXR85268	1 MNXM1225_c + 1 acnam_c <==> 1 MNXM2140_c + 1 h2o_c	(1185660.4.peg.1420 or 1185660.4.peg.1308 or 1185660.4.peg.3662)	-1000	1000
