Reaction	Void	rpfCGH
MNXR58824	-1	-1
MNXR5887	-1	-1
MNXR5910	0	-1
MNXR59227	-1	-1
MNXR5927	0	0
MNXR59665	0	0
MNXR59713	-1	-1
MNXR59771	0	0
MNXR59886	0	0
MNXR60025	0	0
MNXR6030	0	-1
MNXR60319	0	0
MNXR60320	-1	-1
MNXR60327	-1	-1
MNXR6043	-1	-1
MNXR60581	0	0
MNXR60651	0	0
MNXR60681	1	1
MNXR60682	1	1
MNXR60684	1	1
MNXR60685	0	0
MNXR60686	0	0
MNXR60687	0	0
MNXR60688	0	0
MNXR60689	0	0
MNXR60692	0	0
MNXR6106	0	1
MNXR6164	-1	-1
MNXR61873	0	-1
MNXR6274	-1	-1
MNXR6283	0	0
MNXR62992	0	0
MNXR6311	0	0
MNXR6332	-1	-1
MNXR63965	1	1
MNXR63966	1	1
MNXR63967	1	1
MNXR63968	1	1
MNXR63969	1	1
MNXR63971	1	1
MNXR63972	1	1
MNXR63973	1	1
MNXR63975	1	1
MNXR6493	0	0
MNXR6494	0	0
MNXR6532	0	0
MNXR6539	0	0
MNXR65450	0	0
MNXR65498	0	0
MNXR6555	0	0
MNXR6631	0	0
MNXR67415	0	0
MNXR6834	0	0
MNXR6908	0	0
MNXR69161	-1	-1
MNXR69337	-1	-1
MNXR69346	-1	-1
MNXR69352	-1	-1
MNXR6969	0	0
MNXR69693	1	-1
MNXR69694	1	-1
MNXR6970	0	0
MNXR69727	0	-1
MNXR69749	0	-1
MNXR69763	0	-1
MNXR69802	0	0
MNXR69813	0	0
MNXR69814	0	0
MNXR70083	0	0
MNXR70220	0	0
MNXR70329	-1	-1
MNXR70375	1	1
MNXR7063	0	0
MNXR70958	1	-1
MNXR71149	0	0
MNXR71171	-1	0
MNXR7118	0	0
MNXR71184	0	-1
MNXR71295	-1	-1
MNXR7133	0	0
MNXR7136	0	-1
MNXR71393	0	0
MNXR71411	-1	-1
MNXR71500	0	0
MNXR71594	0	-1
MNXR71850	-1	-1
MNXR7212	-1	-1
MNXR72719	0	-1
MNXR7297	-1	0
MNXR73656	1	1
MNXR73710	0	0
MNXR73713	0	-1
MNXR73934	1	0
MNXR74185	0	0
MNXR74304	1	1
MNXR74373	-1	-1
MNXR74388	1	1
MNXR7442	-1	-1
MNXR7459	1	-1
MNXR74626	-1	-1
MNXR74716	0	0
MNXR74717	0	0
MNXR74722	0	0
MNXR74782	-1	-1
MNXR74931	0	0
MNXR74932	-1	-1
MNXR75041	0	0
MNXR75218	0	0
MNXR75220	0	0
MNXR75221	0	0
MNXR75248	0	0
MNXR75249	0	0
MNXR75271	0	0
MNXR7594	-1	1
MNXR7613	-1	0
MNXR7644	-1	-1
MNXR7721	0	0
MNXR7792	0	0
MNXR78083	1	1
MNXR79288	-1	-1
MNXR79548	0	0
MNXR79575	0	-1
MNXR79601	0	0
MNXR79604	-1	-1
MNXR79613	1	1
MNXR79615	-1	-1
MNXR79647	0	0
MNXR79704	-1	-1
MNXR79735	0	0
MNXR79878	0	0
MNXR79883	-1	-1
MNXR80058	0	-1
MNXR80306	0	-1
MNXR80308	0	-1
MNXR80309	0	-1
MNXR80323	-1	0
MNXR80370	0	0
MNXR80378	1	-1
MNXR80380	-1	-1
MNXR80382	-1	-1
MNXR80383	-1	-1
MNXR80385	-1	-1
MNXR80400	0	-1
MNXR80403	0	-1
MNXR80405	0	-1
MNXR80406	0	-1
MNXR80464	-1	-1
MNXR80501	-1	-1
MNXR80502	-1	-1
MNXR80503	-1	-1
MNXR80504	-1	-1
MNXR80505	-1	-1
MNXR80506	-1	-1
MNXR80553	0	0
MNXR80555	0	0
MNXR80556	0	0
MNXR80557	0	0
MNXR80558	0	0
MNXR80559	0	0
MNXR80560	0	0
MNXR80561	0	0
MNXR8073	0	-1
MNXR80794	0	0
MNXR80876	1	1
MNXR80878	1	1
MNXR80879	1	1
MNXR81103	-1	-1
MNXR8129	-1	-1
MNXR8203	0	0
MNXR8219	0	1
MNXR8221	0	0
MNXR8252	0	-1
MNXR8269	0	-1
MNXR8303	0	0
MNXR8328	0	0
MNXR8404	0	0
MNXR84520	0	0
MNXR84532	-1	-1
MNXR84576	0	0
MNXR84580	0	-1
MNXR84631	0	0
MNXR84761	1	1
MNXR84794	0	0
MNXR84885	0	0
MNXR84910	0	0
MNXR84911	0	-1
MNXR84987	0	0
MNXR85051	0	1
